date,zones,landings
1/22/21,east,3655
1/23/21,east,3655
1/24/21,east,3655
1/25/21,east,3655
1/26/21,east,3655
1/27/21,east,3655
1/28/21,east,3655
1/29/21,east,3655
1/30/21,east,3655
1/31/21,east,3655
2/1/21,east,3655
2/2/21,east,3655
2/3/21,east,3655
2/4/21,east,3655
2/5/21,east,3655
2/6/21,east,3655
2/7/21,east,3655
2/8/21,east,3655
2/9/21,east,3655
2/10/21,east,3655
2/11/21,east,3655
2/12/21,east,3655
2/13/21,east,3655
2/14/21,east,3655
2/15/21,east,3655
2/16/21,east,3655
2/17/21,east,3655
2/18/21,east,3655
2/19/21,east,3655
2/20/21,east,3655
2/21/21,east,3655
2/22/21,east,3655
2/23/21,east,3655
2/24/21,east,3655
2/25/21,east,3655
2/26/21,east,3655
2/27/21,east,3655
2/28/21,east,3655
3/1/21,east,13512
3/2/21,east,13512
3/3/21,east,13512
3/4/21,east,13512
3/5/21,east,13512
3/6/21,east,13512
3/7/21,east,13512
3/8/21,east,13512
3/9/21,east,13512
3/10/21,east,13512
3/11/21,east,13512
3/12/21,east,13512
3/13/21,east,13512
3/14/21,east,13512
3/15/21,east,13512
3/16/21,east,13512
3/17/21,east,13512
3/18/21,east,13512
3/19/21,east,13512
3/20/21,east,13512
3/21/21,east,13512
3/22/21,east,13512
3/23/21,east,13512
3/24/21,east,13512
3/25/21,east,13512
3/26/21,east,13512
3/27/21,east,13512
3/28/21,east,13512
3/29/21,east,13512
3/30/21,east,13512
3/31/21,east,13512
4/1/21,east,13512
4/2/21,east,13512
4/3/21,east,13512
4/4/21,east,13512
4/5/21,east,13512
4/6/21,east,13512
4/7/21,east,13512
4/8/21,east,13512
4/9/21,east,13512
4/10/21,east,13512
4/11/21,east,13512
4/12/21,east,13512
4/13/21,east,13512
4/14/21,east,13512
4/15/21,east,13512
4/16/21,east,13512
4/17/21,east,13512
4/18/21,east,13512
4/19/21,east,13512
4/20/21,east,13512
4/21/21,east,13512
4/22/21,east,13512
4/23/21,east,13512
4/24/21,east,13512
4/25/21,east,13512
4/26/21,east,13512
4/27/21,east,13512
4/28/21,east,13512
4/29/21,east,13512
4/30/21,east,13512
5/1/21,east,11094
5/2/21,east,11094
5/3/21,east,11094
5/4/21,east,11094
5/5/21,east,11094
5/6/21,east,11094
5/7/21,east,11094
5/8/21,east,11094
5/9/21,east,11094
5/10/21,east,11094
5/11/21,east,11094
5/12/21,east,11094
5/13/21,east,11094
5/14/21,east,11094
5/15/21,east,11094
5/16/21,east,11094
5/17/21,east,11094
5/18/21,east,11094
5/19/21,east,11094
5/20/21,east,11094
5/21/21,east,11094
5/22/21,east,11094
5/23/21,east,11094
5/24/21,east,11094
5/25/21,east,11094
5/26/21,east,11094
5/27/21,east,11094
5/28/21,east,11094
5/29/21,east,11094
5/30/21,east,11094
5/31/21,east,11094
6/1/21,east,11464
6/2/21,east,11464
6/3/21,east,11464
6/4/21,east,11464
6/5/21,east,11464
6/6/21,east,11464
6/7/21,east,11464
6/8/21,east,11464
6/9/21,east,11464
6/10/21,east,11464
6/11/21,east,11464
6/12/21,east,11464
6/13/21,east,11464
6/14/21,east,11464
6/15/21,east,11464
6/16/21,east,11464
6/17/21,east,11464
6/18/21,east,11464
6/19/21,east,11464
6/20/21,east,11464
6/21/21,east,11464
6/22/21,east,11464
6/23/21,east,11464
6/24/21,east,11464
6/25/21,east,11464
6/26/21,east,11464
6/27/21,east,11464
6/28/21,east,11464
6/29/21,east,11464
6/30/21,east,11464
7/1/21,east,8378
7/2/21,east,8378
7/3/21,east,8378
7/4/21,east,8378
7/5/21,east,8378
7/6/21,east,8378
7/7/21,east,8378
7/8/21,east,8378
7/9/21,east,8378
7/10/21,east,8378
7/11/21,east,8378
7/12/21,east,8378
7/13/21,east,8378
7/14/21,east,8378
7/15/21,east,8378
7/16/21,east,8378
7/17/21,east,8378
7/18/21,east,8378
7/19/21,east,8378
7/20/21,east,8378
7/21/21,east,8378
7/22/21,east,8378
7/23/21,east,8378
7/24/21,east,8378
7/25/21,east,8378
7/26/21,east,8378
7/27/21,east,8378
7/28/21,east,8378
7/29/21,east,8378
7/30/21,east,8378
7/31/21,east,8378
8/1/20,north,8997
8/2/20,north,8997
8/3/20,north,8997
8/4/20,north,8997
8/5/20,north,8997
8/6/20,north,8997
8/7/20,north,8997
8/8/20,north,8997
8/9/20,north,8997
8/10/20,north,8997
8/11/20,north,8997
8/12/20,north,8997
8/13/20,north,8997
8/14/20,north,8997
8/15/20,north,8997
8/16/20,north,8997
8/17/20,north,8997
8/18/20,north,8997
8/19/20,north,8997
8/20/20,north,8997
8/21/20,north,8997
8/22/20,north,8997
8/23/20,north,8997
8/24/20,north,8997
8/25/20,north,8997
8/26/20,north,8997
8/27/20,north,8997
8/28/20,north,8997
8/29/20,north,8997
8/30/20,north,8997
8/31/20,north,8997
9/1/20,north,65
9/2/20,north,65
9/3/20,north,65
9/4/20,north,65
9/5/20,north,65
9/6/20,north,65
9/7/20,north,65
9/8/20,north,65
9/9/20,north,65
9/10/20,north,65
9/11/20,north,65
9/12/20,north,65
9/13/20,north,65
9/14/20,north,65
9/15/20,north,65
9/16/20,north,65
9/17/20,north,65
9/18/20,north,65
9/19/20,north,65
9/20/20,north,65
9/21/20,north,65
9/22/20,north,65
9/23/20,north,65
9/24/20,north,65
9/25/20,north,65
9/26/20,north,65
9/27/20,north,65
9/28/20,north,65
9/29/20,north,65
9/30/20,north,65
10/1/20,north,65
10/2/20,north,65
10/3/20,north,65
10/4/20,north,65
10/5/20,north,65
10/6/20,north,65
10/7/20,north,65
10/8/20,north,65
10/9/20,north,65
10/10/20,north,65
10/11/20,north,65
10/12/20,north,65
10/13/20,north,65
10/14/20,north,65
10/15/20,north,65
10/16/20,north,65
10/17/20,north,65
10/18/20,north,65
10/19/20,north,65
10/20/20,north,65
10/21/20,north,65
10/22/20,north,65
10/23/20,north,65
10/24/20,north,65
10/25/20,north,65
10/26/20,north,65
10/27/20,north,65
10/28/20,north,65
10/29/20,north,65
10/30/20,north,65
10/31/20,north,65
11/1/20,north,8
11/2/20,north,8
11/3/20,north,8
11/4/20,north,8
11/5/20,north,8
11/6/20,north,8
11/7/20,north,8
11/8/20,north,8
11/9/20,north,8
11/10/20,north,8
11/11/20,north,8
11/12/20,north,8
11/13/20,north,8
11/14/20,north,8
11/15/20,north,8
11/16/20,north,8
11/17/20,north,8
11/18/20,north,8
11/19/20,north,8
11/20/20,north,8
11/21/20,north,8
11/22/20,north,8
11/23/20,north,8
11/24/20,north,8
11/25/20,north,8
11/26/20,north,8
11/27/20,north,8
11/28/20,north,8
11/29/20,north,8
11/30/20,north,8
12/1/20,north,8
12/2/20,north,8
12/3/20,north,8
12/4/20,north,8
12/5/20,north,8
12/6/20,north,8
12/7/20,north,8
12/8/20,north,8
12/9/20,north,8
12/10/20,north,8
12/11/20,north,8
12/12/20,north,8
12/13/20,north,8
12/14/20,north,8
12/15/20,north,8
12/16/20,north,8
12/17/20,north,8
12/18/20,north,8
12/19/20,north,8
12/20/20,north,8
12/21/20,north,8
12/22/20,north,8
12/23/20,north,8
12/24/20,north,8
12/25/20,north,8
12/26/20,north,8
12/27/20,north,8
12/28/20,north,8
12/29/20,north,8
12/30/20,north,8
12/31/20,north,8
1/1/21,north,44
1/2/21,north,44
1/3/21,north,44
1/4/21,north,44
1/5/21,north,44
1/6/21,north,44
1/7/21,north,44
1/8/21,north,44
1/9/21,north,44
1/10/21,north,44
1/11/21,north,44
1/12/21,north,44
1/13/21,north,44
1/14/21,north,44
1/15/21,north,44
1/16/21,north,44
1/17/21,north,44
1/18/21,north,44
1/19/21,north,44
1/20/21,north,44
1/21/21,north,44
1/22/21,north,44
1/23/21,north,44
1/24/21,north,44
1/25/21,north,44
1/26/21,north,44
1/27/21,north,44
1/28/21,north,44
1/29/21,north,44
1/30/21,north,44
1/31/21,north,44
2/1/21,north,44
2/2/21,north,44
2/3/21,north,44
2/4/21,north,44
2/5/21,north,44
2/6/21,north,44
2/7/21,north,44
2/8/21,north,44
2/9/21,north,44
2/10/21,north,44
2/11/21,north,44
2/12/21,north,44
2/13/21,north,44
2/14/21,north,44
2/15/21,north,44
2/16/21,north,44
2/17/21,north,44
2/18/21,north,44
2/19/21,north,44
2/20/21,north,44
2/21/21,north,44
2/22/21,north,44
2/23/21,north,44
2/24/21,north,44
2/25/21,north,44
2/26/21,north,44
2/27/21,north,44
2/28/21,north,44
3/1/21,north,217
3/2/21,north,217
3/3/21,north,217
3/4/21,north,217
3/5/21,north,217
3/6/21,north,217
3/7/21,north,217
3/8/21,north,217
3/9/21,north,217
3/10/21,north,217
3/11/21,north,217
3/12/21,north,217
3/13/21,north,217
3/14/21,north,217
3/15/21,north,217
3/16/21,north,217
3/17/21,north,217
3/18/21,north,217
3/19/21,north,217
3/20/21,north,217
3/21/21,north,217
3/22/21,north,217
3/23/21,north,217
3/24/21,north,217
3/25/21,north,217
3/26/21,north,217
3/27/21,north,217
3/28/21,north,217
3/29/21,north,217
3/30/21,north,217
3/31/21,north,217
4/1/21,north,217
4/2/21,north,217
4/3/21,north,217
4/4/21,north,217
4/5/21,north,217
4/6/21,north,217
4/7/21,north,217
4/8/21,north,217
4/9/21,north,217
4/10/21,north,217
4/11/21,north,217
4/12/21,north,217
4/13/21,north,217
4/14/21,north,217
4/15/21,north,217
4/16/21,north,217
4/17/21,north,217
4/18/21,north,217
4/19/21,north,217
4/20/21,north,217
4/21/21,north,217
4/22/21,north,217
4/23/21,north,217
4/24/21,north,217
4/25/21,north,217
4/26/21,north,217
4/27/21,north,217
4/28/21,north,217
4/29/21,north,217
4/30/21,north,217
5/1/21,north,11914
5/2/21,north,11914
5/3/21,north,11914
5/4/21,north,11914
5/5/21,north,11914
5/6/21,north,11914
5/7/21,north,11914
5/8/21,north,11914
5/9/21,north,11914
5/10/21,north,11914
5/11/21,north,11914
5/12/21,north,11914
5/13/21,north,11914
5/14/21,north,11914
5/15/21,north,11914
5/16/21,north,11914
5/17/21,north,11914
5/18/21,north,11914
5/19/21,north,11914
5/20/21,north,11914
5/21/21,north,11914
5/22/21,north,11914
5/23/21,north,11914
5/24/21,north,11914
5/25/21,north,11914
5/26/21,north,11914
5/27/21,north,11914
5/28/21,north,11914
5/29/21,north,11914
5/30/21,north,11914
5/31/21,north,11914
6/1/21,north,12311
6/2/21,north,12311
6/3/21,north,12311
6/4/21,north,12311
6/5/21,north,12311
6/6/21,north,12311
6/7/21,north,12311
6/8/21,north,12311
6/9/21,north,12311
6/10/21,north,12311
6/11/21,north,12311
6/12/21,north,12311
6/13/21,north,12311
6/14/21,north,12311
6/15/21,north,12311
6/16/21,north,12311
6/17/21,north,12311
6/18/21,north,12311
6/19/21,north,12311
6/20/21,north,12311
6/21/21,north,12311
