date,zones,landings
3/21/2021,east,19088.14754
3/22/2021,east,19088.14754
3/23/2021,east,19088.14754
3/24/2021,east,19088.14754
3/25/2021,east,19088.14754
3/26/2021,east,19088.14754
3/27/2021,east,19088.14754
3/28/2021,east,19088.14754
3/29/2021,east,19088.14754
3/30/2021,east,19088.14754
3/31/2021,east,19088.14754
4/1/2021,east,19088.14754
4/2/2021,east,19088.14754
4/3/2021,east,19088.14754
4/4/2021,east,19088.14754
4/5/2021,east,19088.14754
4/6/2021,east,19088.14754
4/7/2021,east,19088.14754
4/8/2021,east,19088.14754
4/9/2021,east,19088.14754
4/10/2021,east,19088.14754
4/11/2021,east,19088.14754
4/12/2021,east,19088.14754
4/13/2021,east,19088.14754
4/14/2021,east,19088.14754
4/15/2021,east,19088.14754
4/16/2021,east,19088.14754
4/17/2021,east,19088.14754
4/18/2021,east,19088.14754
4/19/2021,east,19088.14754
4/20/2021,east,19088.14754
4/21/2021,east,19088.14754
4/22/2021,east,19088.14754
4/23/2021,east,19088.14754
4/24/2021,east,19088.14754
4/25/2021,east,19088.14754
4/26/2021,east,19088.14754
4/27/2021,east,19088.14754
4/28/2021,east,19088.14754
4/29/2021,east,19088.14754
4/30/2021,east,19088.14754
5/1/2021,east,6612.42623
5/2/2021,east,6612.42623
5/3/2021,east,6612.42623
5/4/2021,east,6612.42623
5/5/2021,east,6612.42623
5/6/2021,east,6612.42623
5/7/2021,east,6612.42623
5/8/2021,east,6612.42623
5/9/2021,east,6612.42623
5/10/2021,east,6612.42623
5/11/2021,east,6612.42623
5/12/2021,east,6612.42623
5/13/2021,east,6612.42623
5/14/2021,east,6612.42623
5/15/2021,east,6612.42623
5/16/2021,east,6612.42623
5/17/2021,east,6612.42623
5/18/2021,east,6612.42623
5/19/2021,east,6612.42623
5/20/2021,east,6612.42623
5/21/2021,east,6612.42623
5/22/2021,east,6612.42623
5/23/2021,east,6612.42623
5/24/2021,east,6612.42623
5/25/2021,east,6612.42623
5/26/2021,east,6612.42623
5/27/2021,east,6612.42623
5/28/2021,east,6612.42623
5/29/2021,east,6612.42623
5/30/2021,east,6612.42623
5/31/2021,east,6612.42623
6/1/2021,east,6612.42623
6/2/2021,east,6612.42623
6/3/2021,east,6612.42623
6/4/2021,east,6612.42623
6/5/2021,east,6612.42623
6/6/2021,east,6612.42623
6/7/2021,east,6612.42623
6/8/2021,east,6612.42623
6/9/2021,east,6612.42623
6/10/2021,east,6612.42623
6/11/2021,east,6612.42623
6/12/2021,east,6612.42623
6/13/2021,east,6612.42623
6/14/2021,east,6612.42623
6/15/2021,east,6612.42623
6/16/2021,east,6612.42623
6/17/2021,east,6612.42623
6/18/2021,east,6612.42623
6/19/2021,east,6612.42623
6/20/2021,east,6612.42623
6/21/2021,east,6612.42623
6/22/2021,east,6612.42623
6/23/2021,east,6612.42623
6/24/2021,east,6612.42623
6/25/2021,east,6612.42623
6/26/2021,east,6612.42623
6/27/2021,east,6612.42623
6/28/2021,east,6612.42623
6/29/2021,east,6612.42623
6/30/2021,east,6612.42623
7/1/2021,east,5352
7/2/2021,east,5352
7/3/2021,east,5352
7/4/2021,east,5352
7/5/2021,east,5352
7/6/2021,east,5352
7/7/2021,east,5352
7/8/2021,east,5352
7/9/2021,east,5352
7/10/2021,east,5352
7/11/2021,east,5352
7/12/2021,east,5352
7/13/2021,east,5352
7/14/2021,east,5352
7/15/2021,east,5352
7/16/2021,east,5352
7/17/2021,east,5352
7/18/2021,east,5352
7/19/2021,east,5352
7/20/2021,east,5352
7/21/2021,east,5352
7/22/2021,east,5352
7/23/2021,east,5352
7/24/2021,east,5352
7/25/2021,east,5352
7/26/2021,east,5352
7/27/2021,east,5352
7/28/2021,east,5352
7/29/2021,east,5352
7/30/2021,east,5352
7/31/2021,east,5352
8/1/2020,north,5269.419355
8/2/2020,north,5269.419355
8/3/2020,north,5269.419355
8/4/2020,north,5269.419355
8/5/2020,north,5269.419355
8/6/2020,north,5269.419355
8/7/2020,north,5269.419355
8/8/2020,north,5269.419355
8/9/2020,north,5269.419355
8/10/2020,north,5269.419355
8/11/2020,north,5269.419355
8/12/2020,north,5269.419355
8/13/2020,north,5269.419355
8/14/2020,north,5269.419355
8/15/2020,north,5269.419355
8/16/2020,north,5269.419355
8/17/2020,north,5269.419355
8/18/2020,north,5269.419355
8/19/2020,north,5269.419355
8/20/2020,north,5269.419355
8/21/2020,north,5269.419355
8/22/2020,north,5269.419355
8/23/2020,north,5269.419355
8/24/2020,north,5269.419355
8/25/2020,north,5269.419355
8/26/2020,north,5269.419355
8/27/2020,north,5269.419355
8/28/2020,north,5269.419355
8/29/2020,north,5269.419355
8/30/2020,north,5269.419355
8/31/2020,north,5269.419355
9/1/2020,north,9278.245902
9/2/2020,north,9278.245902
9/3/2020,north,9278.245902
9/4/2020,north,9278.245902
9/5/2020,north,9278.245902
9/6/2020,north,9278.245902
9/7/2020,north,9278.245902
9/8/2020,north,9278.245902
9/9/2020,north,9278.245902
9/10/2020,north,9278.245902
9/11/2020,north,9278.245902
9/12/2020,north,9278.245902
9/13/2020,north,9278.245902
9/14/2020,north,9278.245902
9/15/2020,north,9278.245902
9/16/2020,north,9278.245902
9/17/2020,north,9278.245902
9/18/2020,north,9278.245902
9/19/2020,north,9278.245902
9/20/2020,north,9278.245902
9/21/2020,north,9278.245902
9/22/2020,north,9278.245902
9/23/2020,north,9278.245902
9/24/2020,north,9278.245902
9/25/2020,north,9278.245902
9/26/2020,north,9278.245902
9/27/2020,north,9278.245902
9/28/2020,north,9278.245902
9/29/2020,north,9278.245902
9/30/2020,north,9278.245902
10/1/2020,north,9278.245902
10/2/2020,north,9278.245902
10/3/2020,north,9278.245902
10/4/2020,north,9278.245902
10/5/2020,north,9278.245902
10/6/2020,north,9278.245902
10/7/2020,north,9278.245902
10/8/2020,north,9278.245902
10/9/2020,north,9278.245902
10/10/2020,north,9278.245902
10/11/2020,north,9278.245902
10/12/2020,north,9278.245902
10/13/2020,north,9278.245902
10/14/2020,north,9278.245902
10/15/2020,north,9278.245902
10/16/2020,north,9278.245902
10/17/2020,north,9278.245902
10/18/2020,north,9278.245902
10/19/2020,north,9278.245902
10/20/2020,north,9278.245902
10/21/2020,north,9278.245902
10/22/2020,north,9278.245902
10/23/2020,north,9278.245902
10/24/2020,north,9278.245902
10/25/2020,north,9278.245902
10/26/2020,north,9278.245902
10/27/2020,north,9278.245902
10/28/2020,north,9278.245902
10/29/2020,north,9278.245902
10/30/2020,north,9278.245902
10/31/2020,north,9278.245902
11/1/2020,north,2571.295082
11/2/2020,north,2571.295082
11/3/2020,north,2571.295082
11/4/2020,north,2571.295082
11/5/2020,north,2571.295082
11/6/2020,north,2571.295082
11/7/2020,north,2571.295082
11/8/2020,north,2571.295082
11/9/2020,north,2571.295082
11/10/2020,north,2571.295082
11/11/2020,north,2571.295082
11/12/2020,north,2571.295082
11/13/2020,north,2571.295082
11/14/2020,north,2571.295082
11/15/2020,north,2571.295082
11/16/2020,north,2571.295082
11/17/2020,north,2571.295082
11/18/2020,north,2571.295082
11/19/2020,north,2571.295082
11/20/2020,north,2571.295082
11/21/2020,north,2571.295082
11/22/2020,north,2571.295082
11/23/2020,north,2571.295082
11/24/2020,north,2571.295082
11/25/2020,north,2571.295082
11/26/2020,north,2571.295082
11/27/2020,north,2571.295082
11/28/2020,north,2571.295082
11/29/2020,north,2571.295082
11/30/2020,north,2571.295082
12/1/2020,north,2571.295082
12/2/2020,north,2571.295082
12/3/2020,north,2571.295082
12/4/2020,north,2571.295082
12/5/2020,north,2571.295082
12/6/2020,north,2571.295082
12/7/2020,north,2571.295082
12/8/2020,north,2571.295082
12/9/2020,north,2571.295082
12/10/2020,north,2571.295082
12/11/2020,north,2571.295082
12/12/2020,north,2571.295082
12/13/2020,north,2571.295082
12/14/2020,north,2571.295082
12/15/2020,north,2571.295082
12/16/2020,north,2571.295082
12/17/2020,north,2571.295082
12/18/2020,north,2571.295082
12/19/2020,north,2571.295082
12/20/2020,north,2571.295082
12/21/2020,north,2571.295082
12/22/2020,north,2571.295082
12/23/2020,north,2571.295082
12/24/2020,north,2571.295082
12/25/2020,north,2571.295082
12/26/2020,north,2571.295082
12/27/2020,north,2571.295082
12/28/2020,north,2571.295082
12/29/2020,north,2571.295082
12/30/2020,north,2571.295082
12/31/2020,north,2571.295082
1/1/2021,north,6078.762712
1/2/2021,north,6078.762712
1/3/2021,north,6078.762712
1/4/2021,north,6078.762712
1/5/2021,north,6078.762712
1/6/2021,north,6078.762712
1/7/2021,north,6078.762712
1/8/2021,north,6078.762712
1/9/2021,north,6078.762712
1/10/2021,north,6078.762712
1/11/2021,north,6078.762712
1/12/2021,north,6078.762712
1/13/2021,north,6078.762712
1/14/2021,north,6078.762712
1/15/2021,north,6078.762712
1/16/2021,north,6078.762712
1/17/2021,north,6078.762712
1/18/2021,north,6078.762712
1/19/2021,north,6078.762712
1/20/2021,north,6078.762712
1/21/2021,north,6078.762712
1/22/2021,north,6078.762712
1/23/2021,north,6078.762712
1/24/2021,north,6078.762712
1/25/2021,north,6078.762712
1/26/2021,north,6078.762712
1/27/2021,north,6078.762712
1/28/2021,north,6078.762712
1/29/2021,north,6078.762712
1/30/2021,north,6078.762712
1/31/2021,north,6078.762712
2/1/2021,north,6078.762712
2/2/2021,north,6078.762712
2/3/2021,north,6078.762712
2/4/2021,north,6078.762712
2/5/2021,north,6078.762712
2/6/2021,north,6078.762712
2/7/2021,north,6078.762712
2/8/2021,north,6078.762712
2/9/2021,north,6078.762712
2/10/2021,north,6078.762712
2/11/2021,north,6078.762712
2/12/2021,north,6078.762712
2/13/2021,north,6078.762712
2/14/2021,north,6078.762712
2/15/2021,north,6078.762712
2/16/2021,north,6078.762712
2/17/2021,north,6078.762712
2/18/2021,north,6078.762712
2/19/2021,north,6078.762712
2/20/2021,north,6078.762712
